numCommande;nomClient;numTelClient;mailClient;adresseClient;codePostalClient;villeClient;dateCommande;datePaiement;dateRealisation;nomDestinataire;numTelDestinataire;adresseDestinataire;codePostalDestinataire;villeDestinataire;dateLivraisonEffective
125;David;"0677688417";david@hotmail.com;1, Rue des Bois;69110;Sainte-Foy-lès-Lyon;29/10/2021;09/11/2021;10/11/2021;Roux;"0650504324";11, Avenue de Paris;69730;Genay;10/11/2021
126;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;02/11/2021;09/11/2021;10/11/2021;;"";;;;
127;Ziegler;"0792431240";ziegler@sfr.fr;21, Avenue de Lowendal;69003;Lyon 3eme;03/11/2021;09/11/2021;10/11/2021;Simon;"0785242019";6, Rue Saint-Ouen;69260;Charbonnières-les-Bains;10/11/2021
128;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;03/11/2021;09/11/2021;10/11/2021;Boutique Fabrique de Rêves;"0648624826";25, Rue de l'Église;69007;Lyon 7eme;10/11/2021
129;Descamps;"0766585806";descamps@free.fr;27, Boulevard des Allobroges;69300;Caluire-et-Cuire;03/11/2021;09/11/2021;10/11/2021;Mercier;"0779581408";19, Boulevard de la Paix;69130;Écully;10/11/2021
130;Descamps;"0766585806";descamps@free.fr;27, Boulevard des Allobroges;69300;Caluire-et-Cuire;04/11/2021;09/11/2021;10/11/2021;Descamps;"0766585806";27, Boulevard des Allobroges;69300;Caluire-et-Cuire;10/11/2021
131;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;05/11/2021;05/11/2021;10/11/2021;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;10/11/2021
132;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;05/11/2021;09/11/2021;10/11/2021;;"";;;;
133;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;05/11/2021;09/11/2021;10/11/2021;;"";;;;
134;Richard;"0635337022";richard@gmail.com;34, Rue Saint-Antoine;69250;Neuville-sur-Saône;05/11/2021;09/11/2021;10/11/2021;Brochet;"0768399605";2, Rue Saint-Martin;69350;La Mulatière;10/11/2021
135;Chauvin;"0730466148";chauvin@laposte.net;50, Avenue de la Division Leclerc;69340;Francheville;05/11/2021;09/11/2021;10/11/2021;Chauvin;"0730466148";50, Avenue de la Division Leclerc;69340;Francheville;10/11/2021
136;Mathieu;"0729520448";mathieu@icloud.com;32, Avenue de Lowendal;69680;Chassieu;05/11/2021;09/11/2021;10/11/2021;Mathieu;"0729520448";32, Avenue de Lowendal;69680;Chassieu;10/11/2021
137;Thomson;"0642260931";thomson@gmail.com;5, Boulevard des Pyrénées;69300;Caluire-et-Cuire;08/11/2021;08/11/2021;10/11/2021;Thomson;"0642260931";5, Boulevard des Pyrénées;69300;Caluire-et-Cuire;10/11/2021
138;Clerc;"0625973429";clerc@free.fr;13, Rue Saint-Victor;69780;Mions;08/11/2021;09/11/2021;10/11/2021;Clerc;"0625973429";13, Rue Saint-Victor;69780;Mions;10/11/2021
139;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;08/11/2021;09/11/2021;10/11/2021;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;10/11/2021
140;Boutique Coin Précieux;"0785431549";coin_précieux@yahoo.com;4, Avenue de Friedland;69003;Lyon 3eme;08/11/2021;09/11/2021;10/11/2021;Boutique Coin Précieux;"0785431549";4, Avenue de Friedland;69003;Lyon 3eme;10/11/2021
141;Thibault;"0736092438";thibault@laposte.net;44, Boulevard de la Paix;69003;Lyon 3eme;08/11/2021;09/11/2021;10/11/2021;Marchand;"0766682828";6, Rue Saint-François;69004;Lyon 4eme;10/11/2021
142;Restaurant Festin Royal;"0677778735";festin_royal@laposte.net;7, Rue de la Justice;69004;Lyon 4eme;01/04/2022;11/04/2022;18/04/2022;;"";;;;
143;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;01/04/2022;14/04/2022;26/04/2022;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;29/04/2022
144;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;48, Rue de la Chapelle;69002;Lyon 2eme;04/04/2022;05/04/2022;06/04/2022;Boutique Instant Précieux;"0613845064";48, Rue de la Chapelle;69002;Lyon 2eme;11/04/2022
145;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;04/04/2022;05/04/2022;07/04/2022;;"";;;;
146;Thomas;"0771670823";thomas@hotmail.com;24, Rue Sainte-Thérèse;69370;Saint-Didier-au-Mont-d'Or;04/04/2022;06/04/2022;20/04/2022;Mallet;"0764950337";49, Avenue de la Motte-Picquet;69200;Vénissieux;22/04/2022
147;Benedetti;"0781632325";benedetti@sfr.fr;14, Boulevard des Résistants;69280;Marcy-l'Étoile;05/04/2022;07/04/2022;08/04/2022;Benedetti;"0781632325";14, Boulevard des Résistants;69280;Marcy-l'Étoile;12/04/2022
148;Benoît;"0641640798";benoît@outlook.com;3, Rue de la Concorde;69380;Lissieu;05/04/2022;14/04/2022;25/04/2022;Benoît;"0641640798";3, Rue de la Concorde;69380;Lissieu;25/04/2022
149;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;11, Rue des Canards;69002;Lyon 2eme;05/04/2022;18/04/2022;19/04/2022;Boutique Perle Rare;"0668612082";11, Rue des Canards;69002;Lyon 2eme;20/04/2022
150;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;05/04/2022;18/04/2022;29/04/2022;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;29/04/2022
151;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;05/04/2022;19/04/2022;25/04/2022;;"";;;;
152;Meyer;"0610953253";meyer@gmail.com;4, Rue des Héros;69200;Vénissieux;05/04/2022;19/04/2022;29/04/2022;Meyer;"0610953253";4, Rue des Héros;69200;Vénissieux;29/04/2022
153;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@sfr.fr;49, Rue du Général de Gaulle;69320;Feyzin;06/04/2022;06/04/2022;19/04/2022;;"";;;;
154;Joly;"0644846114";joly@protonmail.com;14, Avenue de Wagram;69580;Sathonay-Village;06/04/2022;13/04/2022;15/04/2022;Joly;"0644846114";14, Avenue de Wagram;69580;Sathonay-Village;20/04/2022
155;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;06/04/2022;20/04/2022;29/04/2022;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;29/04/2022
156;Durand;"0796145775";durand@orange.fr;40, Rue des Chênes;69580;Sathonay-Village;07/04/2022;12/04/2022;15/04/2022;;"";;;;
157;Benedetti;"0781632325";benedetti@sfr.fr;14, Boulevard des Résistants;69280;Marcy-l'Étoile;07/04/2022;12/04/2022;25/04/2022;Chapman;"0648204390";12, Rue des Commerçants;69960;Corbas;27/04/2022
158;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;07/04/2022;14/04/2022;25/04/2022;Boutique Tendance et Cie;"0766092349";4, Boulevard de Verdun;69280;Marcy-l'Étoile;26/04/2022
159;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;48, Rue de la Chapelle;69002;Lyon 2eme;07/04/2022;15/04/2022;19/04/2022;Boutique Instant Précieux;"0613845064";48, Rue de la Chapelle;69002;Lyon 2eme;19/04/2022
160;Garin;"0633721410";garin@protonmail.com;1, Rue du Calvaire;69380;Lissieu;08/04/2022;13/04/2022;21/04/2022;;"";;;;
161;Olivier;"0652790453";olivier@hotmail.com;50, Rue des Colibris;69730;Genay;08/04/2022;14/04/2022;15/04/2022;Thomas;"0771670823";24, Rue Sainte-Thérèse;69370;Saint-Didier-au-Mont-d'Or;20/04/2022
162;Thibault;"0736092438";thibault@laposte.net;44, Boulevard de la Paix;69003;Lyon 3eme;08/04/2022;14/04/2022;21/04/2022;Thibault;"0736092438";44, Boulevard de la Paix;69003;Lyon 3eme;25/04/2022
163;Pires;"0652306693";pires@bbox.fr;42, Boulevard des Vosges;69780;Mions;11/04/2022;15/04/2022;27/04/2022;Pires;"0652306693";42, Boulevard des Vosges;69780;Mions;28/04/2022
164;Boutique Esprit Bohème;"0719312161";esprit_bohème@icloud.com;8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;11/04/2022;20/04/2022;26/04/2022;Boutique Esprit Bohème;"0719312161";8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;27/04/2022
165;Jacquet;"0796799393";jacquet@laposte.net;42, Boulevard des Espagnols;69290;Craponne;11/04/2022;21/04/2022;29/04/2022;Jacquet;"0796799393";42, Boulevard des Espagnols;69290;Craponne;29/04/2022
166;Aubry;"0755210517";aubry@orange.fr;7, Rue de la Justice;69310;Oullins-Pierre-Bénite;11/04/2022;25/04/2022;26/04/2022;;"";;;;
167;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;12/04/2022;14/04/2022;27/04/2022;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;28/04/2022
168;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;13/04/2022;15/04/2022;26/04/2022;Boutique Tendance et Cie;"0766092349";4, Boulevard de Verdun;69280;Marcy-l'Étoile;28/04/2022
169;Meunier;"0661308877";meunier@outlook.com;22, Rue des Jardins;69100;Villeurbanne;13/04/2022;18/04/2022;25/04/2022;;"";;;;
170;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;13/04/2022;26/04/2022;29/04/2022;;"";;;;
171;Aubry;"0755210517";aubry@orange.fr;7, Rue de la Justice;69310;Oullins-Pierre-Bénite;13/04/2022;27/04/2022;29/04/2022;Olivier;"0652790453";50, Rue des Colibris;69730;Genay;29/04/2022
172;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;14/04/2022;20/04/2022;29/04/2022;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;29/04/2022
173;Gautier;"0687778853";gautier@icloud.com;3, Rue de l'Égalité;69230;Saint-Genis-Laval;14/04/2022;26/04/2022;27/04/2022;Gautier;"0687778853";3, Rue de l'Égalité;69230;Saint-Genis-Laval;27/04/2022
174;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;15/04/2022;15/04/2022;21/04/2022;Boutique Fabrique de Rêves;"0648624826";25, Rue de l'Église;69007;Lyon 7eme;22/04/2022
175;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;15/04/2022;22/04/2022;25/04/2022;;"";;;;
176;Charron;"0772051520";charron@sfr.fr;20, Boulevard des Alpes;69520;Grigny-sur-Rhône;15/04/2022;26/04/2022;28/04/2022;Langlois;"0745199639";30, Rue du Château;69280;Marcy-l'Étoile;29/04/2022
177;Pires;"0652306693";pires@bbox.fr;42, Boulevard des Vosges;69780;Mions;18/04/2022;18/04/2022;25/04/2022;Royer;"0725836057";41, Rue Saint-Charles;69780;Mions;26/04/2022
178;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;18/04/2022;26/04/2022;29/04/2022;Boutique Tendance et Cie;"0766092349";4, Boulevard de Verdun;69280;Marcy-l'Étoile;29/04/2022
179;Meyer;"0610953253";meyer@gmail.com;4, Rue des Héros;69200;Vénissieux;18/04/2022;27/04/2022;28/04/2022;Meyer;"0610953253";4, Rue des Héros;69200;Vénissieux;28/04/2022
180;Rochet;"0669381286";rochet@laposte.net;1, Rue Saint-Sauveur;69003;Lyon 3eme;18/04/2022;28/04/2022;29/04/2022;Benedetti;"0781632325";14, Boulevard des Résistants;69280;Marcy-l'Étoile;29/04/2022
181;Clerc;"0625973429";clerc@free.fr;13, Rue Saint-Victor;69780;Mions;19/04/2022;20/04/2022;27/04/2022;Roux;"0650504324";11, Avenue de Paris;69730;Genay;29/04/2022
182;Chapman;"0648204390";chapman@laposte.net;12, Rue des Commerçants;69960;Corbas;19/04/2022;21/04/2022;29/04/2022;Descamps;"0766585806";27, Boulevard des Allobroges;69300;Caluire-et-Cuire;29/04/2022
183;Barbot;"0693879448";barbot@gmail.com;43, Avenue de Lowendal;69009;Lyon 9eme;19/04/2022;22/04/2022;27/04/2022;Robert;"0774537467";21, Rue des Bois;69730;Genay;29/04/2022
184;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;19/04/2022;28/04/2022;29/04/2022;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;29/04/2022
185;Schneider;"0668040251";schneider@laposte.net;32, Rue du Port;69003;Lyon 3eme;20/04/2022;20/04/2022;21/04/2022;Bouvier;"0673496436";40, Boulevard de la République;69003;Lyon 3eme;21/04/2022
186;Olivier;"0652790453";olivier@hotmail.com;50, Rue des Colibris;69730;Genay;20/04/2022;22/04/2022;26/04/2022;Castel;"0654645684";12, Rue du Commerce;69003;Lyon 3eme;29/04/2022
187;David;"0677688417";david@hotmail.com;1, Rue des Bois;69110;Sainte-Foy-lès-Lyon;20/04/2022;22/04/2022;27/04/2022;David;"0677688417";1, Rue des Bois;69110;Sainte-Foy-lès-Lyon;28/04/2022
188;Gagnon;"0732683300";gagnon@bbox.fr;23, Rue des Prés;69320;Feyzin;20/04/2022;28/04/2022;29/04/2022;;"";;;;
189;Benoit;"0732532085";benoit@protonmail.com;25, Rue du Progrès;69500;Bron;20/04/2022;28/04/2022;29/04/2022;Benoit;"0732532085";25, Rue du Progrès;69500;Bron;29/04/2022
190;Benoît;"0641640798";benoît@outlook.com;3, Rue de la Concorde;69380;Lissieu;20/04/2022;28/04/2022;29/04/2022;Benoît;"0641640798";3, Rue de la Concorde;69380;Lissieu;29/04/2022
191;Thomas;"0771670823";thomas@hotmail.com;24, Rue Sainte-Thérèse;69370;Saint-Didier-au-Mont-d'Or;20/04/2022;28/04/2022;29/04/2022;Thomas;"0771670823";24, Rue Sainte-Thérèse;69370;Saint-Didier-au-Mont-d'Or;29/04/2022
192;Guitton;"0788433940";guitton@laposte.net;50, Boulevard des Gaulois;69330;Meyzieu;21/04/2022;22/04/2022;29/04/2022;Guitton;"0788433940";50, Boulevard des Gaulois;69330;Meyzieu;29/04/2022
193;Rey;"0742332157";rey@laposte.net;5, Boulevard de la Gare;69260;Charbonnières-les-Bains;21/04/2022;26/04/2022;29/04/2022;Rey;"0742332157";5, Boulevard de la Gare;69260;Charbonnières-les-Bains;29/04/2022
194;Roussel;"0612584833";roussel@laposte.net;36, Avenue de Saxe;69520;Grigny-sur-Rhône;21/04/2022;28/04/2022;29/04/2022;Marty;"0637773108";24, Rue des Cigognes;69320;Feyzin;29/04/2022
195;Dupuis;"0639509781";dupuis@orange.fr;50, Boulevard du Maréchal Juin;69800;Saint-Priest;22/04/2022;22/04/2022;27/04/2022;Dupont;"0644642517";20, Rue des Bois;69540;Irigny;27/04/2022
196;Thibault;"0736092438";thibault@laposte.net;44, Boulevard de la Paix;69003;Lyon 3eme;22/04/2022;27/04/2022;28/04/2022;Thibault;"0736092438";44, Boulevard de la Paix;69003;Lyon 3eme;29/04/2022
197;Restaurant Mets Épicuriens;"0734206304";mets_épicuriens@protonmail.com;6, Rue Saint-Antoine;69280;Marcy-l'Étoile;22/04/2022;28/04/2022;29/04/2022;;"";;;;
198;Michel;"0622833179";michel@orange.fr;3, Boulevard des Bretons;69800;Saint-Priest;22/04/2022;28/04/2022;29/04/2022;Michel;"0622833179";3, Boulevard des Bretons;69800;Saint-Priest;29/04/2022
199;Boutique Esprit Bohème;"0719312161";esprit_bohème@icloud.com;8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;22/04/2022;28/04/2022;29/04/2022;Boutique Esprit Bohème;"0719312161";8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;29/04/2022
200;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;26/04/2022;28/04/2022;29/04/2022;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;29/04/2022
201;Dufresne;"0641178956";dufresne@orange.fr;29, Rue de la Révolution;69002;Lyon 2eme;26/04/2022;28/04/2022;29/04/2022;Dufresne;"0641178956";29, Rue de la Révolution;69002;Lyon 2eme;29/04/2022
202;Guilbert;"0619409883";guilbert@laposte.net;39, Rue des Bois;69008;Lyon 8eme;27/04/2022;27/04/2022;29/04/2022;Guilbert;"0619409883";39, Rue des Bois;69008;Lyon 8eme;29/04/2022
203;Renard;"0790893058";renard@protonmail.com;16, Rue de la Chapelle;69003;Lyon 3eme;27/04/2022;28/04/2022;29/04/2022;Renard;"0790893058";16, Rue de la Chapelle;69003;Lyon 3eme;29/04/2022
204;Hernandez;"0630992042";hernandez@outlook.com;15, Boulevard des Allobroges;69650;Saint-Germain-au-Mont-d'Or;27/04/2022;28/04/2022;29/04/2022;Caron;"0736175261";43, Rue Saint-Henri;69160;Tassin-la-Demi-Lune;29/04/2022
205;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;11, Rue des Canards;69002;Lyon 2eme;27/04/2022;28/04/2022;29/04/2022;Boutique Perle Rare;"0668612082";11, Rue des Canards;69002;Lyon 2eme;29/04/2022
206;Restaurant Cuisine Ancienne;"0674460059";cuisine_ancienne@laposte.net;15, Rue Saint-Henri;69700;Givors;01/12/2022;01/12/2022;09/12/2022;;"";;;;
207;Guerin;"0756352637";guerin@icloud.com;15, Rue de la Solidarité;69001;Lyon 1er;01/12/2022;12/12/2022;15/12/2022;Guerin;"0756352637";15, Rue de la Solidarité;69001;Lyon 1er;19/12/2022
208;Vasseur;"0639070158";vasseur@protonmail.com;23, Boulevard des Français Libres;69520;Grigny-sur-Rhône;01/12/2022;13/12/2022;20/12/2022;Serrano;"0746767520";42, Boulevard de Verdun;69150;Décines-Charpieu;23/12/2022
209;Lucas;"0692075293";lucas@sfr.fr;15, Rue de la Fraternité;69380;Lissieu;01/12/2022;14/12/2022;15/12/2022;;"";;;;
210;Guilbert;"0619409883";guilbert@laposte.net;39, Rue des Bois;69008;Lyon 8eme;02/12/2022;02/12/2022;14/12/2022;;"";;;;
211;Marchand;"0766682828";marchand@outlook.com;6, Rue Saint-François;69004;Lyon 4eme;02/12/2022;07/12/2022;09/12/2022;Marchand;"0766682828";6, Rue Saint-François;69004;Lyon 4eme;14/12/2022
212;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;02/12/2022;13/12/2022;27/12/2022;;"";;;;
213;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;05/12/2022;07/12/2022;14/12/2022;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;15/12/2022
214;Boutique Coin Précieux;"0785431549";coin_précieux@yahoo.com;4, Avenue de Friedland;69003;Lyon 3eme;05/12/2022;07/12/2022;19/12/2022;Boutique Coin Précieux;"0785431549";4, Avenue de Friedland;69003;Lyon 3eme;19/12/2022
215;Rochet;"0669381286";rochet@laposte.net;1, Rue Saint-Sauveur;69003;Lyon 3eme;05/12/2022;08/12/2022;14/12/2022;Menet;"0658312903";15, Rue Saint-Sauveur;69160;Tassin-la-Demi-Lune;14/12/2022
216;Montel;"0624769746";montel@free.fr;46, Rue du Stade;69700;Givors;05/12/2022;08/12/2022;20/12/2022;Courtois;"0794777965";48, Avenue de Clermont;69570;Dardilly;22/12/2022
217;Bois;"0729172337";bois@hotmail.com;24, Rue des Héros;69002;Lyon 2eme;05/12/2022;14/12/2022;20/12/2022;;"";;;;
218;Rochet;"0669381286";rochet@laposte.net;1, Rue Saint-Sauveur;69003;Lyon 3eme;06/12/2022;15/12/2022;28/12/2022;;"";;;;
219;Restaurant Gourmet Voyageur;"0759379292";gourmet_voyageur@icloud.com;23, Rue Saint-Jean;69320;Feyzin;06/12/2022;19/12/2022;20/12/2022;;"";;;;
220;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;06/12/2022;19/12/2022;27/12/2022;;"";;;;
221;Restaurant Saveurs Italiennes;"0615865995";saveurs_italiennes@orange.fr;40, Boulevard du Général de Gaulle;69150;Décines-Charpieu;06/12/2022;19/12/2022;28/12/2022;;"";;;;
222;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;06/12/2022;20/12/2022;23/12/2022;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;27/12/2022
223;Vallée;"0620818268";vallée@protonmail.com;38, Rue des Instituteurs;69360;Solaize;06/12/2022;20/12/2022;26/12/2022;Vallée;"0620818268";38, Rue des Instituteurs;69360;Solaize;29/12/2022
224;Mercier;"0779581408";mercier@hotmail.com;19, Boulevard de la Paix;69130;Écully;06/12/2022;20/12/2022;27/12/2022;Mercier;"0779581408";19, Boulevard de la Paix;69130;Écully;29/12/2022
225;Baron;"0626079280";baron@icloud.com;28, Rue du Quai;69004;Lyon 4eme;07/12/2022;07/12/2022;09/12/2022;Garin;"0633721410";1, Rue du Calvaire;69380;Lissieu;14/12/2022
226;Bouvier;"0673496436";bouvier@sfr.fr;40, Boulevard de la République;69003;Lyon 3eme;07/12/2022;09/12/2022;20/12/2022;Bouvier;"0673496436";40, Boulevard de la République;69003;Lyon 3eme;20/12/2022
227;Masson;"0641892925";masson@yahoo.com;50, Avenue de Nantes;69270;Fontaines-sur-Saône;07/12/2022;14/12/2022;16/12/2022;Masson;"0641892925";50, Avenue de Nantes;69270;Fontaines-sur-Saône;19/12/2022
228;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;07/12/2022;21/12/2022;26/12/2022;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;26/12/2022
229;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;08/12/2022;14/12/2022;21/12/2022;;"";;;;
230;Gautier;"0687778853";gautier@icloud.com;3, Rue de l'Égalité;69230;Saint-Genis-Laval;08/12/2022;14/12/2022;28/12/2022;Lemoine;"0715303722";17, Boulevard des Allobroges;69960;Corbas;28/12/2022
231;Restaurant Festin Royal;"0677778735";festin_royal@laposte.net;7, Rue de la Justice;69004;Lyon 4eme;08/12/2022;15/12/2022;29/12/2022;;"";;;;
232;Dehousse;"0691450450";dehousse@outlook.com;10, Rue Saint-Honoré;69006;Lyon 6eme;09/12/2022;15/12/2022;19/12/2022;Dehousse;"0691450450";10, Rue Saint-Honoré;69006;Lyon 6eme;22/12/2022
233;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;09/12/2022;20/12/2022;23/12/2022;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;26/12/2022
234;Boutique Coin Précieux;"0785431549";coin_précieux@yahoo.com;4, Avenue de Friedland;69003;Lyon 3eme;12/12/2022;15/12/2022;19/12/2022;Boutique Coin Précieux;"0785431549";4, Avenue de Friedland;69003;Lyon 3eme;20/12/2022
235;Olivier;"0652790453";olivier@hotmail.com;50, Rue des Colibris;69730;Genay;12/12/2022;15/12/2022;28/12/2022;Robert;"0774537467";21, Rue des Bois;69730;Genay;29/12/2022
236;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;11, Rue des Canards;69002;Lyon 2eme;12/12/2022;16/12/2022;23/12/2022;;"";;;;
237;Lemoine;"0715303722";lemoine@outlook.com;17, Boulevard des Allobroges;69960;Corbas;12/12/2022;21/12/2022;22/12/2022;;"";;;;
238;Restaurant Esprit du Sud;"0620605888";esprit_du_sud@sfr.fr;15, Avenue de Bordeaux;69570;Dardilly;12/12/2022;23/12/2022;29/12/2022;;"";;;;
239;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;13/12/2022;;;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;
240;Gagnon;"0732683300";gagnon@bbox.fr;23, Rue des Prés;69320;Feyzin;13/12/2022;13/12/2022;20/12/2022;Delarue;"0651458072";3, Rue des Métiers;69320;Feyzin;20/12/2022
241;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;13/12/2022;14/12/2022;26/12/2022;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;28/12/2022
242;Thibault;"0736092438";thibault@laposte.net;44, Boulevard de la Paix;69003;Lyon 3eme;13/12/2022;14/12/2022;28/12/2022;Meyer;"0610953253";4, Rue des Héros;69200;Vénissieux;29/12/2022
243;Marty;"0637773108";marty@laposte.net;24, Rue des Cigognes;69320;Feyzin;13/12/2022;15/12/2022;16/12/2022;Guilbert;"0619409883";39, Rue des Bois;69008;Lyon 8eme;19/12/2022
244;François;"0658732580";françois@protonmail.com;11, Rue des Coquelicots;69330;Meyzieu;13/12/2022;21/12/2022;23/12/2022;Aubry;"0755210517";7, Rue de la Justice;69310;Oullins-Pierre-Bénite;28/12/2022
245;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;13/12/2022;22/12/2022;29/12/2022;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;29/12/2022
246;Clerc;"0625973429";clerc@free.fr;13, Rue Saint-Victor;69780;Mions;13/12/2022;26/12/2022;29/12/2022;Jacquet;"0796799393";42, Boulevard des Espagnols;69290;Craponne;29/12/2022
247;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;14/12/2022;23/12/2022;28/12/2022;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;29/12/2022
248;Boutique Coin Précieux;"0785431549";coin_précieux@yahoo.com;4, Avenue de Friedland;69003;Lyon 3eme;14/12/2022;28/12/2022;29/12/2022;Boutique Coin Précieux;"0785431549";4, Avenue de Friedland;69003;Lyon 3eme;29/12/2022
249;Gilbert;"0723974406";gilbert@sfr.fr;34, Rue du Commerce;69500;Bron;15/12/2022;15/12/2022;21/12/2022;Brochet;"0768399605";2, Rue Saint-Martin;69350;La Mulatière;21/12/2022
